Species,Endemicity
Madoqua guentheri,Continental
Madoqua kirkii,Continental
Malacomys cansdalei,Continental
Smutsia temminckii,Continental
Phataginus tetradactyla,Continental
Marmosa andersoni,Continental
Marmosa lepida,Continental
Marmosops handleyi,Continental
Marmosops incanus,Continental
Marmosa tyleriana,Continental
Marmosops cracens,Continental
Marmosops parvidens,Continental
Marmota caudata,Continental
Marmota menzbieri,Continental
Mastomys shortridgei,Continental
Marmota sibirica,Continental
Marmota marmota,Continental
Martes gwatkinsii,Continental
Massoutiera mzabi,Continental
Mastomys pernanus,Continental
Mastomys coucha,Continental
Maxomys inas,Continental
Maxomys moi,Continental
Megadendromus nikolausi,Continental
Mazama chunyi,Continental
Megadontomys nelsoni,Continental
Megadontomys thomasi,Continental
Mazama rufina,Continental
Mico marcai,Continental
Melomys capensis,Continental
Mesocricetus newtoni,Continental
Marmosa alstoni,Continental
Marmosa constantiae,Continental
Microcavia australis,Continental
Meriones chengi,Continental
Meriones crassus,Continental
Meriones persicus,Continental
Meriones sacramenti,Continental
Microcavia niata,Continental
Mesocricetus auratus,Continental
Mesocricetus brandti,Continental
Microcavia shiptoni,Continental
Mesomys hispidus,Continental
Mesomys leniceps,Continental
Micropotamogale lamottei,Continental
Micropotamogale ruwenzorii,Continental
Microtus cabrerae,Continental
Microsciurus alfari,Continental
Microtus californicus,Continental
Neodon juldaschi,Continental
Microtus kermanensis,Continental
Microsciurus flaviventer,Continental
Microsciurus mimulus,Continental
Microtus ilaeus,Continental
Microtus transcaspicus,Continental
Microsciurus santanderensis,Continental
Microtus guatemalensis,Continental
Microtus hyperboreus,Continental
Microtus irani,Continental
Neodon irene,Continental
Microtus bavaricus,Continental
Phaiomys leucurus,Continental
Microtus oaxacensis,Continental
Oligoryzomys griseolus,Continental
